theme,average_sentiment,weight,num_comments
australia designed,0.7,0.017,1
remover does,0.7,0.017,1
remover,0.7,0.017,1
used makeup,0.7,0.017,1
makeup remover,0.7,0.017,1
clinique,0.25,0.017,1
balms,0.25,0.017,1
clinique good,0.25,0.017,1
remove makeup,0.25,0.017,1
prefer,0.0,0.017,1
burns eyes,0.0,0.017,1
foam quite,0.145,0.017,1
tint isn,0.472,0.017,1
water just,0.5,0.017,1
just damp,0.5,0.017,1
foam need,0.5,0.017,1
skin foam,0.5,0.017,1
double,0.472,0.017,1
fine double,0.472,0.017,1
tint,0.472,0.017,1
cleanse use,0.472,0.017,1
bit water,0.145,0.017,1
sunscreen,0.472,0.017,1
use sunscreen,0.472,0.017,1
double cleanse,0.472,0.017,1
sunscreen tint,0.472,0.017,1
quite bit,0.145,0.017,1
does,0.145,0.017,1
using product,0.145,0.017,1
expensive soap,0.25,0.017,1
balms remove,0.25,0.017,1
use balms,0.25,0.017,1
unfortunately,-0.5,0.017,1
good stuff,-0.15,0.017,1
having good,-0.15,0.017,1
stuff annoying,-0.15,0.017,1
annoying need,-0.15,0.017,1
america having,-0.15,0.017,1
thinking cleansing,0.0,0.017,1
cleanser got,0.0,0.017,1
unfortunately cerave,-0.5,0.017,1
annoying,-0.15,0.017,1
receive,0.438,0.017,1
great,0.438,0.017,1
extremely,0.438,0.017,1
receive great,0.438,0.017,1
honored,0.438,0.017,1
honored receive,0.438,0.017,1
extremely honored,0.438,0.017,1
stuff,-0.15,0.017,1
second cleanser,0.25,0.017,1
makeup clinique,0.25,0.017,1
cerave cleansers,0.25,0.017,1
foam tell,0.25,0.017,1
tell cleanser,0.25,0.017,1
cleansers say,0.25,0.017,1
say soap,0.25,0.017,1
crème doesn,0.25,0.017,1
crème,0.25,0.017,1
says crème,0.25,0.017,1
screaming,0.0,0.017,1
use second,0.25,0.017,1
oily,0.0,0.017,1
oily skin,0.0,0.017,1
skin screaming,0.0,0.017,1
use,0.25,0.017,1
better,0.25,0.017,1
second,0.25,0.017,1
better use,0.25,0.017,1
rub water,0.25,0.017,1
actually foam,0.25,0.017,1
foam bit,0.25,0.017,1
naturally,1.0,0.017,1
conducting animal,0.0,0.017,1
animal tests,0.0,0.017,1
product,0.0,0.017,1
similar,0.0,0.017,1
product similar,0.0,0.017,1
similar cleansing,0.0,0.017,1
yay,0.0,0.017,1
beautiful,1.0,0.017,1
animal,0.0,0.017,1
naturally beautiful,1.0,0.017,1
curious,0.018,0.017,1
new,0.018,0.017,1
curious new,0.018,0.017,1
isdin,0.018,0.017,1
new isdin,0.018,0.017,1
oil cleanser,0.018,0.017,1
tests,0.0,0.017,1
conducting,0.0,0.017,1
got,1.0,0.017,1
extensions,0.0,0.017,1
cerave products,-0.433,0.017,1
skin cerave,-0.433,0.017,1
eczema,-0.433,0.017,1
ugh eczema,-0.433,0.017,1
eczema combination,-0.433,0.017,1
like,0.0,0.017,1
looks like,0.0,0.017,1
like lash,0.0,0.017,1
cloth foams,-0.167,0.017,1
lash,0.0,0.017,1
lash extensions,0.0,0.017,1
review,0.438,0.017,1
muslin,-0.167,0.017,1
foams lot,-0.167,0.017,1
use muslin,-0.167,0.017,1
muslin cloth,-0.167,0.017,1
isdin oil,0.018,0.017,1
ve got,1.0,0.017,1
water hands,0.25,0.017,1
glad,0.392,0.017,1
water ve,-0.5,0.017,1
thanks,0.3,0.017,1
available,0.3,0.017,1
make available,0.3,0.017,1
thanks demo,0.3,0.017,1
demo,0.3,0.017,1
glad like,0.392,0.017,1
long popular,0.392,0.017,1
using wrong,-0.5,0.017,1
popular,0.392,0.017,1
popular glad,0.392,0.017,1
australia long,0.392,0.017,1
ve australia,0.392,0.017,1
hands does,0.25,0.017,1
work,0.25,0.017,1
work better,0.25,0.017,1
ve using,-0.5,0.017,1
using,-0.5,0.017,1
got perfect,1.0,0.017,1
create foam,0.5,0.017,1
perfect,1.0,0.017,1
texture,0.5,0.017,1
cleanser create,0.5,0.017,1
enhance texture,0.5,0.017,1
water cleanser,0.5,0.017,1
foam really,0.5,0.017,1
cream,0.5,0.017,1
cream foam,0.5,0.017,1
wrong,-0.5,0.017,1
skin doesn,0.0,0.017,1
foams say,0.0,0.017,1
water foams,0.0,0.017,1
say damp,0.0,0.017,1
hand,0.0,0.017,1
foam hand,0.0,0.017,1
wait ve,-0.5,0.017,1
17,0.0,0.017,1
